
FltId	DAirp	AAirp	DGMTDiff	AGMTDiff	DLocT	ALocT	DLocDate	ALocDate	BlockT	CreditT	LocDays
021	EHOU	MLUN01	+0600	+0600	0700	07005	20351021	20351021	5	5	1
022	MLUN01	EHOU	+0600	+0600	0800	08005	20351022	20351022	5	5	1
023	EHOU	MMAR01	+0600	+0600	0900	0950	20351023	20351023	300	300	1
024	MMAR01	EHOU	+0600	+0600	1100	1150	20351024	20351024	300	300	1
025	MLUN01	MMAR01	+0600	+0600	1300	1350	20351025	20351025	306	306	1
026	MMAR01	MLUN01	+0600	+0600	1500	1550	20351026	20351026	306	306	1
027	EHOU	MLUN02	+0600	+0600	1600	16005	20351027	20351027	5	5	1
028	MLUN02	EHOU	+0600	+0600	1700	17005	20351028	20351028	5	5	1
029	EHOU	MMAR02	+0600	+0600	1800	1850	20351029	20351029	300	300	1
030	MMAR02	EHOU	+0600	+0600	2000	2050	20351030	20351030	300	300	1
031	MLUN02	MMAR02	+0600	+0600	2100	2150	20351101	20351101	306	306	1
032	MMAR02	MLUN02	+0600	+0600	2200	2250	20351102	20351102	306	306	1
033	EHOU	MLUN03	+0600	+0600	0600	06005	20351103	20351103	5	5	1
034	MLUN03	EHOU	+0600	+0600	0700	07005	20351104	20351104	5	5	1
035	EHOU	MMAR03	+0600	+0600	0800	0850	20351105	20351105	300	300	1
036	MMAR03	EHOU	+0600	+0600	1000	1050	20351106	20351106	300	300	1
037	MLUN03	MMAR03	+0600	+0600	1200	1250	20351107	20351107	306	306	1
038	MMAR03	MLUN03	+0600	+0600	1300	1350	20351108	20351108	306	306	1
039	EHOU	MLUN04	+0600	+0600	1400	14005	20351109	20351109	5	5	1
040	MLUN04	EHOU	+0600	+0600	1500	15005	20351110	20351110	5	5	1
041	EHOU	MMAR04	+0600	+0600	1600	1650	20351111	20351111	300	300	1
042	MMAR04	EHOU	+0600	+0600	1800	1850	20351112	20351112	300	300	1
043	MLUN04	MMAR04	+0600	+0600	1900	1950	20351113	20351113	306	306	1
044	MMAR04	MLUN04	+0600	+0600	2000	2050	20351114	20351114	306	306	1
