FltId	DAirp	AAirp	DGMTDiff	AGMTDiff	DLocT	ALocT	DLocDate	ALocDate	BlockT	CreditT	LocDays
111	EHOU	TITAN01	+0600	+0600	0700	11100	20351201	20351201	267	267	1
112	TITAN01	EHOU	+0600	+0600	1300	1700	20351202	20351202	267	267	1
113	EHOU	SATURN01	+0600	+0600	0800	1400	20351203	20351203	312	312	1
114	SATURN01	EHOU	+0600	+0600	1500	2100	20351204	20351204	312	312	1
115	TITAN01	SATURN01	+0600	+0600	0800	1200	20351205	20351205	267	267	1
116	SATURN01	TITAN01	+0600	+0600	1300	1700	20351206	20351206	267	267	1
117	EHOU	TITAN01	+0600	+0600	0900	1330	20351207	20351207	267	267	1
118	TITAN01	EHOU	+0600	+0600	1400	1830	20351208	20351208	267	267	1
119	EHOU	SATURN01	+0600	+0600	1000	1600	20351209	20351209	312	312	1
120	SATURN01	EHOU	+0600	+0600	1700	2300	20351210	20351210	312	312	1
121	TITAN01	SATURN01	+0600	+0600	0900	1330	20351211	20351211	267	267	1
122	SATURN01	TITAN01	+0600	+0600	1400	1830	20351212	20351212	267	267	1
123	EHOU	TITAN01	+0600	+0600	1100	1544	20351213	20351213	267	267	1
124	TITAN01	EHOU	+0600	+0600	1600	2030	20351214	20351214	267	267	1
125	EHOU	SATURN01	+0600	+0600	1200	1719	20351215	20351215	312	312	1
126	SATURN01	EHOU	+0600	+0600	1800	2319	20351216	20351216	312	312	1
127	TITAN01	SATURN01	+0600	+0600	1100	1544	20351217	20351217	267	267	1
128	SATURN01	TITAN01	+0600	+0600	1600	2030	20351218	20351218	267	267	1
129	EHOU	TITAN01	+0600	+0600	1300	1744	20351219	20351219	267	267	1
130	TITAN01	EHOU	+0600	+0600	1800	2230	20351220	20351220	267	267	1
131	EHOU	SATURN01	+0600	+0600	1400	1919	20351221	20351221	312	312	1
132	SATURN01	EHOU	+0600	+0600	2000	2519	20351222	20351222	312	312	1
133	TITAN01	SATURN01	+0600	+0600	1300	1744	20351223	20351223	267	267	1
134	SATURN01	TITAN01	+0600	+0600	1800	2230	20351224	20351224	267	267	1
135	EHOU	TITAN01	+0600	+0600	1500	1944	20351225	20351225	267	267	1
136	TITAN01	EHOU	+0600	+0600	2000	2430	20351226	20351226	267	267	1
137	EHOU	SATURN01	+0600	+0600	1600	2119	20351227	20351227	312	312	1
138	SATURN01	EHOU	+0600	+0600	2100	2619	20351228	20351228	312	312	1
139	TITAN01	SATURN01	+0600	+0600	1500	1944	20351229	20351229	267	267	1
140	SATURN01	TITAN01	+0600	+0600	2000	2430	20351230	20351230	267	267	1
141	EHOU	TITAN01	+0600	+0600	1700	2144	20351301	20351301	267	267	1
142	TITAN01	EHOU	+0600	+0600	2200	2630	20351302	20351302	267	267	1
143	EHOU	SATURN01	+0600	+0600	1800	2219	20351303	20351303	312	312	1
144	SATURN01	EHOU	+0600	+0600	2300	2719	20351304	20351304	312	312	1
145	TITAN01	SATURN01	+0600	+0600	1700	2144	20351305	20351305	267	267	1
146	SATURN01	TITAN01	+0600	+0600	2200	2630	20351306	20351306	267	267	1
147	EHOU	TITAN01	+0600	+0600	1900	2344	20351307	20351307	267	267	1
148	TITAN01	EHOU	+0600	+0600	0000	0430	20351308	20351308	267	267	1
149	EHOU	SATURN01	+0600	+0600	2000	2419	20351309	20351309	312	312	1
150	SATURN01	EHOU	+0600	+0600	0100	0519	20351310	20351310	312	312	1
151	TITAN01	SATURN01	+0600	+0600	1900	2344	20351311	20351311	267	267	1
152	SATURN01	TITAN01	+0600	+0600	0000	0430	20351312	20351312	267	267	1
153	EHOU	TITAN01	+0600	+0600	2100	2544	20351313	20351313	267	267	1
154	TITAN01	EHOU	+0600	+0600	0200	0630	20351314	20351314	267	267	1
155	EHOU	SATURN01	+0600	+0600	2200	2619	20351315	20351315	312	312	1
156	SATURN01	EHOU	+0600	+0600	0300	0719	20351316	20351316	312	312	1
157	TITAN01	SATURN01	+0600	+0600	2100	2544	20351317	20351317	267	267	1
158	SATURN01	TITAN01	+0600	+0600	0300	0744	20351318	20351318	267	267	1
159	EHOU	TITAN01	+0600	+0600	2300	2744	20351319	20351319	267	267	1
160	TITAN01	EHOU	+0600	+0600	0400	0830	20351320	20351320	267	267	1
161	EHOU	SATURN01	+0600	+0600	0000	0419	20351321	20351321	312	312	1
162	SATURN01	EHOU	+0600	+0600	0500	0919	20351322	20351322	312	312	1
163	TITAN01	SATURN01	+0600	+0600	0000	0430	20351323	20351323	267	267	1
164	SATURN01	TITAN01	+0600	+0600	0500	0930	20351324	20351324	267	267	1
165	EHOU	TITAN01	+0600	+0600	0100	0530	20351325	20351325	267	267	1
166	TITAN01	EHOU	+0600	+0600	0600	1030	20351326	20351326	267	267	1
167	EHOU	SATURN01	+0600	+0600	0200	0630	20351327	20351327	312	312	1
168	SATURN01	EHOU	+0600	+0600	0700	1030	20351328	20351328	312	312	1
169	TITAN01	SATURN01	+0600	+0600	0200	0630	20351329	20351329	267	267	1
170	SATURN01	TITAN01	+0600	+0600	0700	1030	20351330	20351330	267	267	1
